Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Marie-Hélène Habert-Dassault,59.0,$9.4B,Diversified,Diversified,Director,GIMD,False,,,"Paris, France",France,F,Married,,"Master, Sciences Po"
James Clark,80.0,$3.8B,Technology,"Netscape, investments",Co-founder,Netscape Communications Corporation,True,9.0,2.0,"Palm Beach, Florida",United States,M,Married,4.0,"Bachelor of Arts/Science, University of New Orleans; Master of Science, University of New Orleans; Doctorate, University of Utah"
Rameshchandra Jain,75.0,$1.7B,Manufacturing,Textiles,Chairman and Managing Director,Bhilosa Industries,True,,,"Mumbai, India",India,M,Married,3.0,
Chen Wenyuan & family,56.0,$1.1B,Technology,Testing equipment,Chairman,HYC Technology,True,,,"Suzhou, China",China,M,Married,,
David Green & family,82.0,$13.7B,Fashion & Retail,Retail,CEO,Hobby Lobby,True,10.0,2.0,"Oklahoma City, Oklahoma",United States,M,Married,3.0,"Diploma, High School"
Ren Jianhua,67.0,$1.7B,Manufacturing,Kitchen appliances,chairman,Shenzhen-listed kitchen,True,,,"Hangzhou, China",China,M,Married,,
Ronald Perelman,81.0,$1.8B,Finance & Investments,Leveraged buyouts,"banker , businessman , investor, philanthropist",MacAndrews & Forbes Incorporated,True,7.0,2.0,"New York, New York",United States,M,Married,8.0,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School"
Hui Wing Mau,73.0,$2.1B,Real Estate,Real estate,"entrepreneur, founder, chairman",Shimao group,True,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,2.0,"Master of Business Administration, University of South Australia"
Michael Otto,80.0,$8.1B,Fashion & Retail,"Retail, real estate",Chairman,Otto Group,False,,,"Hamburg, Germany",Germany,M,Married,2.0,"Doctorate, University of Hamburg; Doctorate, University of Munich"
Nithin Kamath,44.0,$4.8B,Finance & Investments,Financial services,CEO,Zerodha,True,,,"Bangalore, India",India,M,Married,1.0,"Bachelor of Science, Bangalore Institute of Technology"
Sharron Hunt & family,66.0,$1.4B,Sports,Kansas City Chiefs,owner,NFL's Kansas City,False,,,"Dallas, Texas",United States,F,,,
Bernard Arnault & family,75.0,$233B,Fashion & Retail,LVMH,Chairman and CEO,LVMH Moët Hennessy Louis Vuitton,False,,,"Paris, France",France,M,Married,5.0,"Bachelor of Arts/Science, Ecole Polytechnique de Paris"
Mark Meijer & family,66.0,$5.5B,Fashion & Retail,Supermarkets,"owns , board of directors",Michigan-based grocery chain Meijer,False,3.0,2.0,"Grand Rapids, Michigan",United States,M,,,
James Dyson,76.0,$13.6B,Manufacturing,Vacuums,Founder,Dyson Ltd.,True,,,"Gloucestershire, United Kingdom",United Kingdom,M,Married,3.0,
Jorge Paulo Lemann & family,84.0,$16.4B,Food & Beverage,Beer,"Investor, Philanthropist",,True,,,"Zurich, Switzerland",Brazil,M,Married,5.0,"Bachelor of Arts/Science, Harvard University"
James Irving,96.0,$5.6B,Diversified,Diversified,Chairman,J.D. Irving Limited,False,,,"Saint John, Canada",Canada,M,Married,4.0,
Ann Walton Kroenke,75.0,$10B,Fashion & Retail,Walmart,Owner,Denver Nuggets (NBA) and Colorado Avalanche (NHL),False,1.0,1.0,"Electra, Texas",United States,F,Married,2.0,"Registered Nurse, Lincoln University"
Isaac Perlmutter,81.0,$4.4B,Media & Entertainment,Marvel comics,Chairman,Marvel Entertainment,True,10.0,1.0,"Palm Beach, Florida",United States,M,Married,,"High School Graduate, High School"
Rihanna,36.0,$1.4B,Fashion & Retail,"Music, cosmetics",Musician,,True,10.0,,"Los Angeles, California",Barbados,F,In Relationship,2.0,
Amy Goldman Fowler,69.0,$1.1B,Real Estate,Real estate,American gardener and businessperson,,False,2.0,1.0,"Rhinebeck, New York",United States,F,Married,,"Bachelor of Arts, Barnard College, Master of Arts, Teachers College, Columbia University, Doctor of Philosophy, Oklahoma State University"
Naresh Trehan,77.0,$1.3B,Healthcare,Hospitals,Managing director,Medanta,True,,,"Delhi, India",India,M,Married,2.0,"Bachelor of Medicine/Bachelor of Surgery, King George's Medical University"
Yu Zhuyun,50.0,$2.4B,Construction & Engineering,Diversified,chairman and CEO,Central New Energy Holding Group,True,,,Hong Kong,China,M,,,"Master of Business Administration, Hong Kong Baptist University, Executive Master of Business Administration, Cheung Kong Graduate School of Business"
David Geffen,81.0,$8B,Media & Entertainment,"Movies, record labels",Co-founder,DreamWorks Animation,True,9.0,3.0,"Beverly Hills, California",United States,M,Single,,"Drop Out, The University of Texas at Austin"
Hamdi Akin & family,69.0,$1.4B,Diversified,Diversified,chairman,Akfen Holding,True,,,"Istanbul, Turkey",Turkey,M,Divorced,3.0,"Bachelor of Science, Gazi University"
Alan Trefler,68.0,$2.6B,Technology,Software,businessman and chief executive officer,Pegasystems,True,8.0,1.0,"Brookline, Massachusetts",United States,M,Married,,"Bachelor of Arts/Science, Dartmouth College"
Marie-Hélène Peugeot-Roncoroni & family,63.0,$1.4B,Finance & Investments,"Peugeot, investments",business executive,,False,,,"Paris, France",France,F,Married,4.0,
Douglas Hsu,81.0,$2.3B,Diversified,Diversified,Chairman and CEO,Far Eastern Group,False,,,"Taipei, Taiwan",Taiwan,M,Married,3.0,"Bachelor of Arts/Science, Notre Dame University; Master of Arts, Notre Dame University"
Pan Dong,59.0,$1.3B,Fashion & Retail,Consumer goods,Founder and CEO,Luo Qiuping,True,,,"Hong Kong, Hong Kong",Canada,F,Married,,"Master of Business Administration, Lawrence Technological University; Bachelor of Science, Wuhan University; Master, Wuhan University"
Deniz Sahenk,78.0,$1.2B,Diversified,Diversified,,,False,,,"Istanbul, Turkey",Turkey,F,Widowed,2.0,
Peter Grogg,82.0,$4.4B,Healthcare,Biochemicals,Founder,Bachem,True,,,"Liestal, Switzerland",Switzerland,M,,,
Smita Crishna-Godrej,73.0,$3.8B,Diversified,Consumer goods,Heir,Godrej Group,False,,,"Mumbai, India",India,F,Married,2.0,"Bachelor of Arts, St. Xavier's College Mumbai"
