Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Yusuf Hamied,87.0,$2.9B,Healthcare,Pharmaceuticals,"scientist, billionaire businessman, chairman, elected fellow","Cipla, Indian National Science Academy",False,,,"Mumbai, India",India,M,Married,,"Doctorate, University of Cambridge"
Tung Chee Hwa,86.0,$2.6B,Logistics,Shipping,"businessman and retired politician, Former Chief Executive, vice chairman","Hong Kong, Chinese People's Political Consultative Conference",False,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,3.0,"Bachelor of Science in Engineering, University of Liverpool"
Yu Yong,63.0,$10.3B,Finance & Investments,Mining,Founder,Cathay Fortune Corp,True,,,"Shanghai, China",China,M,Married,,"Bachelor of Arts/Science, Dalian Radio and Television University"
Robert Faith,60.0,$5.8B,Real Estate,Real estate management,"Founder, Chairman, and Chief Executive Officer",Greystar Real Estate Partners,True,8.0,1.0,"Charleston, South Carolina",United States,M,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Science, University of Oklahoma"
Pieter van der Does,54.0,$2B,Technology,Payments software,"CEO, Entrepreneur, co-founder",Adyen,True,,,"Amsterdam, Netherlands",Netherlands,M,Married,,"Bachelor of Arts, Clark University, Bachelor of Arts, Paris 1 Panthéon-Sorbonne University, Master of Science, University of Amsterdam"
Patrick Drahi,60.0,$5.9B,Telecom,Telecom,Founder and Chairman,Altice,True,,,"Zermatt, Switzerland",France,M,Married,4.0,"Bachelor of Science, École Polytechnique de Paris, Master of Science, Télécom Paris"
Cheng Zhenghui,59.0,$1.3B,Healthcare,medical equipment,chairman,"APT Medical, a supplier of medical devices",True,,,"Shenzhen, China",China,M,,,"Graduate degree, Chinese Academy of Sciences"
Eva Maria Braun-Luedicke,37.0,$1.7B,Healthcare,Medical technology,owner,medical device maker B. Braun Melsungen,False,,,"Melsungen, Germany",Germany,F,,,"Bachelor of Medicine, University of Cambridge"
Francois Feuillet & family,75.0,$2.4B,Automotive,"Motorhomes, RVs","businessman ,chairman, owns 58%","Motorhomes, Trigano",False,,,"Paris, France",France,M,Married,,"Bachelor of Arts/Science, École des Hautes Études Commerciales de Paris"
Liang Rubo,41.0,$2.2B,Technology,TikTok,Chairman,ByteDance,True,,,"Beijing, China",China,M,,,"Bachelor of Science, Nankai University"
Yasuhide Uno,60.0,$1.2B,Technology,Payment services,Chairman,"U-NEXT Co.,Ltd",False,,,"Tokyo, Japan",Japan,M,,,
Gao Yi & family,55.0,$1.5B,Healthcare,Pharmaceuticals,Chairman,Yifeng Pharmacy Chain,True,,,"Changsha, China",China,M,,,
Ye Guofu,46.0,$2.2B,Fashion & Retail,Retail,founder and CEO,Miniso,True,,,"Guangzhou, China",China,M,,,"Associate in Arts/Science, Zhongnan University of Economics and Law"
Ranjan Pai,51.0,$2.8B,Healthcare,"Education, healthcare","medical doctor, businessperson, chairman",Manipal Education and Medical Group,False,,,"Bangalore, India",India,M,Married,2.0,"Bachelor of Medicine, Bachelor of Surgery, Kasturba Medical College"
Stephen Rubin,87.0,$2.4B,Fashion & Retail,Sports apparel,"businessman and entrepreneur, chairman, and co-owner",Pentland Group,False,,,"London, United Kingdom",United Kingdom,M,Married,4.0,"Bachelor of Laws, University College London"
Li Qiong,46.0,$1.4B,Media & Entertainment,online games,former wife,,False,,,"Beijing, China",China,F,Divorced,,"Master of Science, Tianjin University"
Xiu Laigui,69.0,$1.1B,Healthcare,Pharmaceuticals,,,True,,,"Tonghua, China",China,M,Married,2.0,"Bachelor of Science, Jilin University"
Lucy Stitzer,64.0,$2B,Food & Beverage,Cargill,American business executive,,False,2.0,,"Greenwich, Connecticut",United States,F,Married,3.0,"Bachelor of Arts, Hollins University"
Gu Yuhua & family,74.0,$2.8B,Manufacturing,Furniture,controls,Jason Furniture,True,,,"Hangzhou, China",China,M,Married,,
Zhang Fan,58.0,$2.2B,Technology,Touch screens,chairman and founder,Shenzhen Huiding Technology,True,,,"Shenzhen, China",China,M,,,Bachelor degree
John Caudwell,71.0,$3.4B,Telecom,Mobile phones,"businessman, founded, invests","Phones 4u, fashion, property and other industries, chairs Caudwell Children",True,,,"Stoke-on-Trent, United Kingdom",United Kingdom,M,Divorced,7.0,
Emanuele (Lino) Saputo & family,87.0,$4.3B,Food & Beverage,Cheese,Chairman,Saputo,False,,,"Montreal, Canada",Canada,M,Married,3.0,"Diploma, High School"
Andreas Struengmann & family,74.0,$9.8B,Healthcare,Pharmaceuticals,Executive,Sandoz,True,,,"Tegernsee, Germany",Germany,M,Married,2.0,"Medical Doctor, University at Buffalo"
Xiang Guangda,66.0,$4.4B,Metals & Mining,metals,Founder,Tsingshan Holding Group,True,,,"Wenzhou, China",China,M,,,
Yang Yuanqing,59.0,$1B,Technology,computers,CEO,Lenovo Group,True,,,"Beijing, China",China,M,,,"Masters of Science in Technology, University of Science and Technology of China"
Zarakh Iliev,57.0,$2.9B,Real Estate,Real estate,"businessman, property developer, co-owner",Kievskaya Ploshchad,True,,,"Moscow, Russia",Russia,M,Married,2.0,
Eduardo Voigt Schwartz,34.0,$1.3B,Manufacturing,Industrial Machinery,"DJ, Producer",,False,,,"Florianópolis, Brazil",Brazil,M,Married,1.0,
Bobby Murphy,35.0,$2.8B,Technology,Snapchat,Co-founder,Snap,True,8.0,1.0,"Venice, California",United States,M,Single,,"Bachelor of Arts/Science, Stanford University"
George Argyros & family,87.0,$3.1B,Real Estate,"Real estate, investments",Investor,Arnel & Affiliates,True,9.0,3.0,"Newport Beach, California",United States,M,Married,3.0,"Bachelor of Arts/Science, Chapman University"
Jose Maria Aristrain,61.0,$1.4B,Metals & Mining,Steel,Owner,steelmaker Arcelor,False,,,"Gstaad, Switzerland",Spain,M,Married,1.0,
Bill Alfond,75.0,$3.1B,Fashion & Retail,Shoes,"investor, philanthropist, and billionaire, founded",Bill and Joan Alfond Foundation,False,1.0,,"Boston, Massachusetts",United States,M,Married,3.0,"Bachelor of Arts, Colby College"
Lachhman Das Mittal,93.0,$2.9B,Automotive,Tractors,"businessman, owner and chairman , member","Sonalika Group, National Council",False,,,"Delhi, India",India,M,Widowed,5.0,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University"
Yoo Jung-hyun,54.0,$2.3B,Media & Entertainment,Online games,"businesswoman, Director , holding company","Nexon, NXC",True,,,"Jeju, South Korea",South Korea,F,Widowed,2.0,
Suh Kyung-bae,61.0,$1.3B,Fashion & Retail,Cosmetics,Chairman,Amorepacific Corp.,False,,,"Seoul, South Korea",South Korea,M,Married,2.0,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Yonsei University"
Jay Paul,76.0,$3.7B,Real Estate,Real estate,real estate developer,Jay Paul Company,True,8.0,,"San Francisco, California",United States,M,Married,,"Bachelor of Arts/Science, Boston University"
Dang Yanbao,51.0,$13.4B,Metals & Mining,Coal,Chairman and Founder,Muyuan Foodstuff,True,,,"Yinchuan, China",China,M,,,"Master of Business Administration, Peking University"
Yogesh Kothari,75.0,$1B,Manufacturing,Specialty chemicals,chairman and managing director,Alkyl Amines Chemicals,True,,,"Mumbai, India",India,M,Married,,"Bachelor of Engineering, Mumbai University; Master of Science in Engineering, University of Massachusetts"
Jose E. Feliciano,50.0,$3.8B,Finance & Investments,Private equity,Co-Founder and Managing Partner,Clearlake Capital,True,8.0,1.0,"Los Angeles, California",United States,M,Married,,"Bachelor of Engineering, Princeton University; Master of Business Administration, Stanford University"
Martha Ingram & family,88.0,$4.4B,Media & Entertainment,"Book distribution, transportation",Former Chairman,Ingram Industries,False,4.0,1.0,"Nashville, Tennessee",United States,F,Widowed,4.0,"Bachelor of Arts/Science, Vassar College"
Kevin Plank,51.0,$1.1B,Fashion & Retail,Under Armour,Chairman and CEO,Under Armour,True,8.0,,"Lutherville-Timonium, Maryland",United States,M,Married,2.0,"Master of Business Administration, Robert H. Smith School of Business; Bachelor of Arts/Science, University of Maryland"
Jim Pattison,95.0,$9.3B,Diversified,Diversified,"Founder, Chairman and CEO",Jim Pattison Group,True,,,"Vancouver, Canada",Canada,M,Married,3.0,
Emmanuel Besnier,53.0,$25.5B,Food & Beverage,Cheese,Chairman,Lactalis Group,False,,,"Laval, France",France,M,,,"Bachelor of Science, ISG Business School"
Viktor Vekselberg,66.0,$7B,Diversified,"Metals, investments",Chairman,Renova,True,,,"Moscow, Russia",Russia,M,Married,2.0,"Master of Science, Moscow State University of Railway Engineering"
Kapil Bhatia,91.0,$1.2B,Service,Aviation,executive chairman,InterGlobe Enterprises,True,,,"Delhi, India",India,M,Married,2.0,
Liu Gexin & family,72.0,$1.4B,Healthcare,Pharmaceuticals,chairman,Sichuan Kelun Pharmaceutical,True,,,"Chengdu, China",China,M,Married,1.0,"Medical Doctor, Chongqing Universtiy"
Peter Kamprad,60.0,$1.1B,Finance & Investments,IKEA,Businessperson,IKEA,False,,,"Tervuren, Belgium",Sweden,M,Married,2.0,
Dennis Washington,89.0,$7B,Logistics,"Construction, mining",Owner,Seaspan Marine Corporation,True,10.0,3.0,"Missoula, Montana",United States,M,Married,2.0,"Diploma, High School"
"Henry Sy, Jr.",70.0,$2.5B,Diversified,Diversified,"co-vice chairman , chairman","SM Investments, SM Prime",False,,,"Manila, Philippines",Philippines,M,Married,2.0,"Bachelor of Science, De La Salle University"
Shirley Kao,67.0,$1.3B,Food & Beverage,Food & beverage retailing,owner,"Uni-President Enterprises,",False,,,"Tainan, Taiwan",Taiwan,F,Married,3.0,"Bachelor of Arts/Science, Marymount California University"
Sergey Lomakin,50.0,$1.7B,Fashion & Retail,Retail,co-founder,Russian discount retailer,True,,,"Paphos, Cyprus",Russia,M,Married,5.0,"Master of Science, Moscow State Mining University"
Wu Jianshu,60.0,$5.2B,Automotive,Auto parts,chairman,Ningbo Tuopu Group,True,,,"Ningbo, China",Hong Kong,M,,,
Ben Navarro,61.0,$1.5B,Finance & Investments,Investments,"founder , chief executive officer","Sherman Financial Group, LLC,",True,,,"Charleston, South Carolina",United States,M,,,"Bachelor of Science, University of Rhode Island"
Sol Daurella,58.0,$2.6B,Food & Beverage,Coca-Cola bottler,"businesswoman, Chairwoman",Coca-Cola,False,,,"Madrid, Spain",Spain,F,Married,,"Bachelor of Science, ESADE"
Yoshiko Mori,83.0,$1.8B,Real Estate,Real estate,"Professor, Director",Japanese Language Program in the Department of East Asian Languages and Cultures at Georgetown University,False,,,"Tokyo, Japan",Japan,F,Widowed,2.0,"PhD, University of Illinois at Urbana-Champaign, Master of Arts, Ohio University, Bachelor of Arts, Nanzan University, Associate of Arts, Nanzan University"
Alceu Elias Feldmann & family,74.0,$3.7B,Energy,Fertilizer,"businessperson, founder",Fertipar,True,,,"Curitiba, Brazil",Brazil,M,Divorced,3.0,"Bachelor of Science, Federal University of Paraná"
Edouard Carmignac,76.0,$1B,Finance & Investments,Asset management,"Chairperson, chairman and CEO",Carmignac,True,,,"Paris, France",France,M,Married,5.0,"Master of Arts, University of Paris, Master of Business Administration, Columbia Business School"
Thor Bjorgolfsson,57.0,$2.1B,Diversified,Investments,"businessman, entrepreneur, chairman and founder",Novator Partners,True,,,"London, United Kingdom",Iceland,M,Married,3.0,"Bachelor of Arts/Science, New York University"
Dieter Schwarz,84.0,$38B,Fashion & Retail,Retail,Former Chairman and CEO,Lidl,False,,,"Neckarsulm, Germany",Germany,M,Married,2.0,
Chu Jian,61.0,$1B,Manufacturing,Manufacturing,,,True,,,"Hangzhou, China",China,M,,,"Doctor of Engineering, Zhejiang University"
Xu Zhenhua,,$1.5B,Media & Entertainment,Online games,Co-Founder,Moonton,True,,,"Shanghai, China",China,M,,,
Michael Spencer,68.0,$1.3B,Finance & Investments,Stock exchange,"founder , businessman , philanthropist",NEX Group,True,,,"London, Suffolk, United Kingdom",United Kingdom,M,Married,3.0,"Bachelor of Arts/Science, Oxford University"
Karin Sartorius-Herbst,,$3.4B,Healthcare,Biopharmaceuticals,Heir,Sartorius AG,False,,,"Northeim, Germany",Germany,F,,,
Gerry Harvey,84.0,$2.1B,Fashion & Retail,Retail,"entrepreneur, executive chairman , co-founded, Co-owner","Harvey Norman Holdings, Magic Millions",True,,,"Sydney, Australia",Australia,M,Married,4.0,
Vladimir Litvinenko & family,68.0,$3B,Manufacturing,Chemical industry,"businessman, Vladimir Putin's campaign manager, rector",Saint Petersburg Mining university,True,,,"Saint Petersburg, Russia",Russia,M,Married,1.0,"Master of Science, Saint Petersburg Mining University"
Pan Laican,,$1.4B,Food & Beverage,Soy sauce,,,True,,,"foshan, China",China,M,,,
Jiang Yintai & family,73.0,$1.7B,Automotive,Auto parts,Chairman,Shanghai Daimay Automotive Interior.,True,,,"Shanghai, China",China,M,Married,,
Lin Bin,56.0,$4.7B,Technology,Smartphones,Co-founder and Vice Chairman,Xiaomi,True,8.0,,"Beijing, China",United States,M,Married,,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University"
Dan Snyder,59.0,$4.4B,Sports,Washington Commanders,Former Owner,Washington Commanders,True,8.0,1.0,"Potomac, Maryland",United States,M,Married,3.0,"Drop Out, University of Maryland"
Andrei Skoch & family,58.0,$6.7B,Metals & Mining,Metals and mining,Owner,Lebedinsky Mining,True,,,"Moscow, Russia",Russia,M,Single,10.0,State Central Institute of Physical Culture
Lam Wai-ying,,$2.2B,Manufacturing,Smartphone screens,Chair and Co-owner,Biel Crystal Manufactory,True,,,"Hong Kong, Hong Kong",Hong Kong,F,Married,,
Koo Kwang-mo,46.0,$2B,Diversified,LG,"Chairperson, chief executive",LG,False,,,"Seoul, South Korea",South Korea,M,Married,,"Bachelor of Arts/Science, Rochester Institute of Technology"
Peter Spuhler,64.0,$3.9B,Manufacturing,Train cars,"business magnate, industrialist and politician, Former Member",National Council,True,,,"Weiningen, Switzerland",Switzerland,M,Married,2.0,"Bachelor of Science, University of St. Gallen"
Dinara Kulibaeva,56.0,$5B,Finance & Investments,Banking,Heiress,Halyk Bank,False,,,"Almaty, Kazakhstan",Kazakhstan,F,Married,3.0,"Doctorate in Pedagogical Sciences, State Institute of Theatre Arts (GITIS, Moscow)"
Ravi Jaipuria,69.0,$16.2B,Food & Beverage,"Soft drinks, fast food",Chairman,Varun Beverages,False,,,"Delhi, India",India,M,Married,2.0,
Chen Jianhua,53.0,$6.6B,Manufacturing,Chemicals,Chairman,Guangzhou People's Congress,True,,,"Suzhou, China",China,M,Married,1.0,"Bachelor of Arts/Science, Nanjing Normal University"
David Adelman,52.0,$2B,Real Estate,"Real estate, asset management","CEO, Businessman, enterpreneur, CoFounder and Vice Chairman",Campus Apartments,True,,,"Haverford, Pennsylvania",United States,M,Married,2.0,"Bachelor of Arts, The Ohio State University"
Alexander Knauf,49.0,$1B,Manufacturing,building materials,Managing partner,Knauf,False,,,"Würzburg, Germany",Germany,M,,,
Cyrus Poonawalla,82.0,$21.3B,Healthcare,Vaccines,Managing Director,Serum Institute of India,False,,,"Pune, India",India,M,Widowed,1.0,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
Yasuhisa Ito,,$1.5B,Fashion & Retail,Retail,Chairman,Masatoshi Ito,False,,,"Tokyo, Japan",Japan,M,,,
Frank Wang,43.0,$4.3B,Technology,Drones,Founder and CEO,DJI Technology Co.,True,,,"Shenzhen, China",China,M,Married,,"Bachelor of Arts/Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology"
Stephen Butt & family,68.0,$2B,Fashion & Retail,Supermarkets,President,H-E-B's,False,3.0,,,United States,M,Married,,"Bachelor of Arts/Science, Trinity University; Master of Business Administration, University of Texas at Austin"
Michael Bloomberg,82.0,$106B,Finance & Investments,Bloomberg LP,CEO,Bloomberg,True,8.0,4.0,"New York, New York",United States,M,In Relationship,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
Tanya Saadé Zeenny,56.0,$8.9B,Logistics,Shipping,Executive Officer,CMA CGM,False,,,"Marseille, France",France,F,Married,1.0,"Bachelor of Science, American Business School Paris"
Aneel Bhusri,58.0,$3.1B,Technology,Business software,Investor,Workday,True,8.0,1.0,"San Francisco, California",United States,M,Married,2.0,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business"
Leon G. Cooperman,80.0,$2.8B,Finance & Investments,Hedge funds,Founder,"Omega Advisors, Inc.",True,9.0,3.0,"Boca Raton, Florida",United States,M,Married,2.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College"
Yvonne Bauer,47.0,$2.3B,Media & Entertainment,"Magazines, media",Owner,Bauer Media Group,False,,,"Hamburg, Germany",Germany,F,Married,,"Bachelor of Arts, University of Bamberg"
Ken Kendrick,80.0,$1.1B,Sports,"Banking, sports team",Managing general partner,Arizona Diamondbacks,True,,,"Paradise Valley, Arizona",United States,M,Married,2.0,"Bachelor of Science, West Virginia University"
Diane Kemper,78.0,$1.1B,Real Estate,Real estate,"American real estate investor, philanthropist",,False,2.0,1.0,"New York, New York",United States,F,Widowed,,
Dilip Surana,58.0,$1.2B,Healthcare,Pharmaceuticals,,Micro Labs,False,,,"Bangalore, India",India,M,Married,1.0,"Bachelor of Commerce, Bangalore University"
David Golub,61.0,$2.1B,Finance & Investments,Private equity,President and CEO,Golub Capital,True,7.0,,"New York, New York",United States,M,,,"Bachelor of Arts/Economics, Harvard College; Master of Philosophy, Oxford University; Master of Business Administration, Stanford Business School"
Wee Ee Chao,68.0,$1.3B,Finance & Investments,Banking,"Managing director, Chairman",UOB-Kay Hian,False,,,"Singapore, Singapore",Singapore,M,,,"Bachelor of Business Administration, American University"
Wong Man Li,59.0,$2B,Manufacturing,Furniture,"Founder, chairman",Man Wah Holdings Ltd,True,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,2.0,
Bob Gaglardi,83.0,$3.8B,Real Estate,Hotels,Founder and Chairman Emeritus,Northland Properties,True,,,"Vancouver, Canada",Canada,M,Married,4.0,"Bachelor of Engineering, Letourneau College"
Eiichi Kuriwada,77.0,$1.4B,Logistics,Package delivery,presdient,SG Holdings,False,,,"Osaka, Japan",Japan,M,Married,3.0,"High School Graduate, Arai High School"
Maurizio Billi,66.0,$3.6B,Healthcare,Generic drugs,president,Eurofarma,False,,,"Sao Paulo, Brazil",Brazil,M,Married,,
Les Wexner & family,86.0,$6B,Fashion & Retail,Retail,Founder and Chairman Emeritus,"Bath & Body Works, Inc",True,8.0,3.0,"New Albany, Ohio",United States,M,Married,4.0,"Bachelor of Arts/Science, Ohio State University"
Benedicte Find,69.0,$1.3B,Healthcare,Medical devices,architect,,False,,,"Copenhagen, Denmark",Denmark,F,,,
Marek Dospiva,54.0,$1.8B,Finance & Investments,Investments,co-founder,Penta Investments,True,,,"Prague, Czech Republic",Czech Republic,M,Divorced,,
Jaime Gilinski Bacal,66.0,$7.7B,Finance & Investments,Banking,Investor,,False,,,"London, United Kingdom",Colombia,M,Married,4.0,"Master of Business Administration, Harvard Business School"
Ruan Xueping,52.0,$5.8B,Manufacturing,Power strip,Co-founder,Gongniu Group,True,,,"Ningbo, China",Hong Kong,M,,,
Reid Hoffman,56.0,$2.5B,Technology,LinkedIn,Partner,Greylock,True,8.0,,"Palo Alto, California",United States,M,Married,,"Master of Science, Oxford University; Bachelor of Arts/Science, Stanford University"
Kevin David Lehmann,21.0,$3.3B,Fashion & Retail,Drugstores,inherited 50% stake,dm-drogerie markt,False,,,,Germany,M,,,
Andrei Kosogov,63.0,$1.1B,Energy,Banking,co-founder,international investment firm LetterOne,True,,,"Moscow, Russia",Russia,M,Married,3.0,"Bachelor of Science in Engineering, Moscow Power Engineering Institute"
Mohammed Dewji,48.0,$1.8B,Diversified,Diversified,"owner, founder","MeTL Group, Tanzanian conglomerate",False,,,"Dar es Salaam, Tanzania",Tanzania,M,Married,3.0,"Bachelor of Science, Georgetown University"
"William Foley, II.",79.0,$1.8B,Finance & Investments,Financial services,"businessman , former",attorney,True,,,"Las Vegas, Nevada",United States,M,Married,,"Bachelor of Science, United States Military Academy, Master of Business Administration, Seattle University, Juris Doctor, University of Washington School of Law"
Jorge Feffer & family,59.0,$1.5B,Manufacturing,pulp and paper,Founder,Suzano,False,,,"São Paulo, Brazil",Brazil,M,Divorced,,
Peter Thiel,56.0,$7.5B,Finance & Investments,"Facebook, investments",Investor,Founders Fund,True,8.0,2.0,"Los Angeles, California",United States,M,Married,1.0,"Bachelor of Arts/Science, Stanford University; Doctor of Jurisprudence, Stanford University"
Carlos Eduardo M. Scripilliti,,$1.1B,Diversified,Diversified,,,False,,,"Sao Paulo, Brazil",Brazil,M,,,
Julio Ponce Lerou,78.0,$2.6B,Metals & Mining,Fertilizer,"entrepreneur, principal shareholder",Soquimich,True,,,"Santiago, Chile",Chile,M,Divorced,1.0,"Bachelor of Arts, University of Chile"
Larry Connor & family,74.0,$2B,Real Estate,Real estate,Real Estate Investor,,True,,,"Miamisburg, Ohio",United States,M,Married,3.0,"Bachelor of Arts/Science, Ohio University"
Andrew Currie,68.0,$5.5B,Manufacturing,Chemicals,Director,PQ Group Holdings Inc,True,,,"London, United Kingdom",United Kingdom,M,,,"Bachelor of Arts/Science, Cambridge University"
Sze Man Bok,74.0,$1.4B,Manufacturing,Hygiene products,"Co-Founder, chairman","Hengan International,",True,,,"Jinjiang, China",China,M,Married,1.0,
Alberto Siccardi & family,79.0,$2.8B,Healthcare,Medical devices,"founded, stock","Medacta, Swiss stock exchange",False,,,"Lugano, Switzerland",Switzerland,M,Married,3.0,"Master of Business Administration, SDA Bocconi School of Management; Bachelor of Science, University of Turin"
Liang Zhaoxian,59.0,$1.2B,Manufacturing,Appliances,president,Galanz Group,False,,,"Foshan, China",China,M,,,"Bachelor of Arts/Science, South China University of Technology"
Fang Wei,50.0,$3.4B,Manufacturing,Steel,chairman,Fangda Group,True,,,"Beijing, China",China,M,Married,,
Jim Breyer,62.0,$1.8B,Finance & Investments,Venture capital,Investor,Breyer Capital,True,8.0,2.0,"Austin, Texas",United States,M,Widowed,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Stanford University"
Xiang Guangming & family,60.0,$1.5B,Manufacturing,Waste disposal,Chairman,Shanghai-listed Zhejiang Weiming Environment Protection.,True,,,"Wenzhou, China",China,M,Married,,
Sergei Galitsky,56.0,$3.3B,Fashion & Retail,Retail,"businessman, founder and co-owner, president","Magnit, FC Krasnodar",True,,,"Krasnodar, Russia",Russia,M,Widowed,1.0,"Bachelor of Arts/Science, Kuban State University"
Wayne Rothbaum,56.0,$3.1B,Healthcare,Biotech investing,Founder and President,Quogue Capital,True,9.0,,"Delray Beach, Florida",United States,M,Married,3.0,"Master of Arts, George Washington University; Bachelor of Arts/Science, State University of New York at Binghamton"
Michiel Le Roux,74.0,$1.2B,Finance & Investments,Banking,founder,Capitec Bank,True,,,"Stellenbosch, South Africa",South Africa,M,Married,,"Bachelor of Commerce (Law), Stellenbosch University, Bachelor of Laws, Stellenbosch University"
Otto Philipp Braun,46.0,$3.3B,Healthcare,Medical technology,Co-Owner,B. Braun Melsungen,False,,,"Melsungen, Germany",Germany,M,,,
Masateru Uno & family,77.0,$2B,Fashion & Retail,Drugstores,"founder, chairman and CEO",Cosmos Pharmaceutical,True,,,"Fukuoka, Japan",Japan,M,,,
Goh Cheng Liang,96.0,$12.7B,Manufacturing,Paints,Founder,Wuthelam Holdings,True,,,"Singapore, Singapore",Singapore,M,Widowed,3.0,
Antonio Gracias,53.0,$1.1B,Finance & Investments,Investments,Founder and CEO,Chicago-based growth equity firm Valor Equity Partners,True,,,"Chicago, Illinois",United States,M,Divorced,3.0,"Master, Georgetown School of Foreign Service; JD, University of Chicago Law School"
Michael Ashley,59.0,$5.2B,Fashion & Retail,Sports retailing,"entrepreneur, founder and former chief executive",Frasers Group plc,True,,,"Hertfordshire, United Kingdom",United Kingdom,M,Divorced,,
David Nahmad,76.0,$2.3B,Fashion & Retail,Art collection,"Retired art dealer, descendant",Syrian Jewish art family,True,,,"New York, New York",Monaco,M,Married,3.0,
Li Ping,56.0,$4.5B,Automotive,Batteries,Vice Chairman,Contemporary Amperex Technology (CATL),True,,,"Ningde, China",Hong Kong,M,,,"Master of Business Administration, China Europe International Business School; Bachelor of Arts/Economics, Fudan University"
Nguyen Thi Phuong Thao,53.0,$2.8B,Diversified,Airlines,Co-founder and chairwoman,Sovico Holdings,True,,,"Ho Chi Minh City, Vietnam",Vietnam,F,Married,4.0,"Bachelor of Science, Moscow National Economics College, Bachelor of Science, Moscow Commerce Institute, Doctor of Philosophy, Mendeleev Institute"
Cho Tak Wong,77.0,$3.6B,Manufacturing,Auto parts,"entrepreneur, chairman",Fuyao Group,True,,,"Fuqing, China",Hong Kong,M,Married,3.0,
William Goldring & family,81.0,$6B,Food & Beverage,Liquor,Chairman,Sazerac Company,False,5.0,,"New Orleans, Louisiana",United States,M,,3.0,"Master of Arts, Tulane University"
John Reece,67.0,$5.5B,Manufacturing,Chemicals,"businessman, chief financial officer and minority shareholder",Ineos,True,,,"London, United Kingdom",United Kingdom,M,,,"Bachelor of Arts/Science, Cambridge University"
Zhang Lei,51.0,$3B,Finance & Investments,Investments,"investor and philanthropist, founder and chairman",Hillhouse Investment,True,,,"Hong Kong, Hong Kong",China,M,Married,2.0,"Bachelor of Arts/Economics, Renmin University of China; Master of Business Administration, The Yale School of Management; Master of Arts, Yale University"
Ramesh Juneja,68.0,$3B,Healthcare,Pharmaceuticals,"businessman, Chairman",Mankind Pharma,True,,,"Delhi, India",India,M,Married,2.0,
Samir Mehta,60.0,$5.8B,Healthcare,"Pharmaceuticals, power",Chairman,Torrent Pharmaceuticals,False,,,"Ahmedabad, India",India,M,Married,2.0,"Master of Business Administration, B.K. School of Business Management"
S. Curtis Johnson,68.0,$4.9B,Manufacturing,Cleaning products,Former Chairman,"Diversey, Inc",False,1.0,2.0,"Racine, Wisconsin",United States,M,Married,4.0,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management"
Ingrid Wu,,$1.3B,Manufacturing,Manufacturing,Founder,AAC Technologies,True,,,,United States,F,,,
Stephen Orenstein & family,60.0,$2B,Diversified,Supply chain services,Businessman,,False,,,"Frankfurt, Germany",United States,M,Married,,
Stewart Horejsi & family,86.0,$3.3B,Finance & Investments,Berkshire Hathaway,"stock, business, investing",Berkshire Hathaway,True,8.0,2.0,"Phoenix, Arizona",United States,M,Divorced,2.0,
Jens von Bahr,53.0,$1.7B,Gambling & Casinos,Gambling products,co-founder,publicly traded casino supplier Evolution AB with Fredrik 'sterberg in 2006,True,,,"Stockholm, Sweden",Sweden,M,Divorced,3.0,"Bachelor of Arts/Economics, Stockholm University"
Glenn Dubin,66.0,$2.9B,Finance & Investments,Hedge funds,"hedge fund manager, Principal , co-founder","Dubin & Co, Highbridge Capital Management",True,9.0,4.0,"New York, New York",United States,M,Married,3.0,"Bachelor of Arts/Science, SUNY Stony Brook"
Kim Jung-woong,49.0,$1.1B,Fashion & Retail,Cosmetics,founder and chief executive,GP Club,True,,,"Seoul, South Korea",South Korea,M,Married,1.0,"Associate in Arts/Science, Daelim University"
Jan Koum,48.0,$16.1B,Technology,WhatsApp,"CEO, Co-founder",WhatsApp Inc.,True,10.0,2.0,"Atherton, California",United States,M,Single,,"Drop Out, San Jose State University"
Wesley Edens,62.0,$4.3B,Finance & Investments,Investments,"businessman and private equity investor, co-founder, founder, co-owner","Fortress Investment Group, New Fortress Energy, Milwaukee Bucks franchise",True,8.0,,"New York, New York",United States,M,Married,4.0,"Bachelor of Arts/Science, Oregon State University"
Chua Thian Poh,75.0,$1.1B,Real Estate,Real estate,Executive Chairman and CEO,Ho Bee Group,True,,,"Singapore, Singapore",Singapore,M,Married,4.0,
